Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B8_8_BB_BB_control_SB,2024-08-03 18:06:46.493,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B8_8_BB_BB_control.mp4,635.934,30.0,No focal subject,Trial start,,,POINT,9.633,9.633,NA,,
B8_2_PR_BP_novel_SB,2024-08-03 17:02:01.318,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B8_2_PR_BP_novel.mp4,653.164,30.0,No focal subject,Trial start,,,POINT,9.697,9.697,NA,,
B6_3_B_novel_SB,2024-08-02 13:09:00.698,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B6_3_B_novel (1).mov,702.033,30.0,No focal subject,Trial start,,,POINT,9.766,9.766,NA,,
B7_3_BG_RR_novel_SB,2024-08-02 14:29:09.949,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_3_BG_RR_novel (1).mov,711.100,30.0,No focal subject,Trial start,,,POINT,9.999,9.999,NA,,
B8_2_PR_BP_novel_SB,2024-08-03 17:02:01.318,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B8_2_PR_BP_novel.mp4,653.164,30.0,No focal subject,Test arena entry,,,POINT,10.130,10.130,NA,,
B6_4_PY_BY_novel_SB,2024-08-02 13:33:45.170,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B6_4_PY_BY_novel.mov,649.467,30.0,No focal subject,Trial start,,,POINT,10.199,10.199,NA,,
B6_3_B_novel_SB,2024-08-02 13:09:00.698,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B6_3_B_novel (1).mov,702.033,30.0,red,Test arena entry,,,POINT,10.400,10.400,NA,,
B8_8_BB_BB_control_SB,2024-08-03 18:06:46.493,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B8_8_BB_BB_control.mp4,635.934,30.0,No focal subject,Test arena entry,,,POINT,10.533,10.533,NA,,
B6_4_PY_BY_novel_SB,2024-08-02 13:33:45.170,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B6_4_PY_BY_novel.mov,649.467,30.0,No focal subject,Test arena entry,,,POINT,10.766,10.766,NA,,
B4_2_PP_GY_novel_SB,2024-08-01 17:21:25.220,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B4_2_PP_GY_novel (1).mov,816.200,30.0,No focal subject,Trial start,,,POINT,10.866,10.866,NA,,
B8_6_PY_GP_novel_SB,2024-08-03 18:01:26.563,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B8_6_PY_GP_novel.mp4,637.334,30.0,No focal subject,Trial start,,,POINT,10.933,10.933,NA,,
B5_3_PR_GG_control_SB,2024-08-01 23:47:06.394,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_3_PR_GG_control (1).mov,688.760,25.0,No focal subject,Trial start,,,POINT,11.080,11.080,NA,,
B6_3_B_novel_SB,2024-08-02 13:09:00.698,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B6_3_B_novel (1).mov,702.033,30.0,redblack,Test arena entry,,,POINT,11.100,11.100,NA,,
B4_8_GY_PP_control_SB,2024-08-01 18:04:34.713,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B4_8_GY_PP_control (1).mp4,802.080,25.0,No focal subject,Trial start,,,POINT,11.200,11.200,NA,,
B5_5_PP_RY_novel_SB,2024-08-01 23:52:27.567,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B5_5_PP_RY_novel (1).mov,645.433,30.0,No focal subject,Trial start,,,POINT,11.300,11.300,NA,,
B6_3_B_novel_SB,2024-08-02 13:09:00.698,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B6_3_B_novel (1).mov,702.033,30.0,blue,Test arena entry,,,POINT,11.400,11.400,NA,,
B6_3_B_novel_SB,2024-08-02 13:09:00.698,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B6_3_B_novel (1).mov,702.033,30.0,black,Test arena entry,,,POINT,11.400,11.400,NA,,
B6_4_GG_BG_novel_SB,2024-08-02 13:26:37.753,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B6_4_GG_BG_novel (1).mov,659.667,30.0,No focal subject,Trial start,,,POINT,11.600,11.600,NA,,
B8_6_BB_BB_novel_SB,2024-08-03 17:46:35.992,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B8_6_BB_BB_novel.mp4,639.267,30.0,No focal subject,Trial start,,,POINT,11.733,11.733,NA,,
B7_2_B_novel_SB,2024-08-02 12:45:58.766,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B7_2_B_novel (1).mov,691.583,24.0,No focal subject,Trial start,,,POINT,11.749,11.749,NA,,
B4_8_GY_PP_control_SB,2024-08-01 18:04:34.713,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B4_8_GY_PP_control (1).mp4,802.080,25.0,No focal subject,Test arena entry,,,POINT,11.760,11.760,NA,,
B4_2_BB_GY_novel_SB,2024-08-01 16:55:33.327,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B4_2_BB_GY_novel (1).mov,702.233,30.0,No focal subject,Trial start,,,POINT,11.833,11.833,NA,,
B3_4_A_control_SB,2024-08-01 15:10:59.932,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B3_4_A_control.mp4,685.030,30.0,No focal subject,Trial start,,,POINT,11.997,11.997,NA,,
B8_2_PR_BP_novel_SB,2024-08-03 17:02:01.318,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B8_2_PR_BP_novel.mp4,653.164,30.0,No focal subject,Zone of Interest,,,STATE,12.030,100.897,88.867,,
B8_6_PY_GP_novel_SB,2024-08-03 18:01:26.563,,D:/Simon/OneDrive - UGent/UGent-PC/Simon/Downloads/B8_6_PY_GP_novel.mp4,637.334,30.0,No focal subject,Test arena entry,,,POINT,12.033,12.033,NA,,
