Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B9_3_BG_PR_control_SK,2024-07-15 14:25:18,,/Volumes/T7/15_7/cut/B9_3_BG_PR_control.mp4,711.000,30.0,No focal subject,Trial start,,,POINT,0.300,0.300,NA,,
B4_8_YY_BR_control_SK,2024-07-11 15:48:55,,/Volumes/T7/6_7/cut/B4_8_YY_BR_control.mp4,785.880,25.0,No focal subject,Trial start,,,POINT,0.600,0.600,NA,,
B4_8_YY_BR_control_SK,2024-07-11 15:48:55,,/Volumes/T7/6_7/cut/B4_8_YY_BR_control.mp4,785.880,25.0,No focal subject,Test arena entry,,,POINT,1.880,1.880,NA,,
B9_3_BG_PR_control_SK,2024-07-15 14:25:18,,/Volumes/T7/15_7/cut/B9_3_BG_PR_control.mp4,711.000,30.0,No focal subject,Test arena entry,,,POINT,2.633,2.633,NA,,
B4_4_BR_BP_control_SK,2024-07-12 18:47:45,,/Volumes/T7/2_7/cut/B4_4_BR_BP_control.mov,668.730,30.0,No focal subject,Trial start,,,POINT,3.900,3.900,NA,,
B4_8_YY_BR_control_SK,2024-07-11 15:48:55,,/Volumes/T7/6_7/cut/B4_8_YY_BR_control.mp4,785.880,25.0,No focal subject,Zone of Interest,,,STATE,4.360,201.320,196.960,,
B4_8_YY_BR_control_SK,2024-07-11 15:48:55,,/Volumes/T7/6_7/cut/B4_8_YY_BR_control.mp4,785.880,25.0,No focal subject,Eating,,,POINT,5.040,5.040,NA,,
B4_4_BR_BP_control_SK,2024-07-12 18:47:45,,/Volumes/T7/2_7/cut/B4_4_BR_BP_control.mov,668.730,30.0,No focal subject,Test arena entry,,,POINT,5.567,5.567,NA,,
B4_8_PP_GY_control_SK,2024-07-11 15:48:43,,/Volumes/T7/6_7/cut/B4_8_PP_GY_control.mp4,641.110,25.0,No focal subject,Trial start,,,POINT,6.840,6.840,NA,,
B9_3_BG_PR_control_SK,2024-07-15 14:25:18,,/Volumes/T7/15_7/cut/B9_3_BG_PR_control.mp4,711.000,30.0,No focal subject,Zone of Interest,,,STATE,7.167,83.633,76.466,,
B4_7_A_control_SK,2024-07-11 12:56:37,,/Volumes/T7/5_7/cut/B4_7_A_control.mp4,656.880,25.0,No focal subject,Trial start,,,POINT,7.240,7.240,NA,,
B4_4_BR_BP_control_SK,2024-07-12 18:47:45,,/Volumes/T7/2_7/cut/B4_4_BR_BP_control.mov,668.730,30.0,No focal subject,Zone of Interest,,,STATE,7.700,64.967,57.267,,
B9_3_BP_BY_control_SK,2024-07-15 14:26:04,,/Volumes/T7/15_7/cut/B9_3_BY_BP_control.mp4,697.240,30.0,No focal subject,Trial start,,,POINT,8.067,8.067,NA,,
B9_3_BB_BY_control_SK,2024-07-15 14:25:37,,/Volumes/T7/15_7/cut/B9_3_BY_BB_control.mp4,735.700,30.0,No focal subject,Trial start,,,POINT,8.200,8.200,NA,,
B4_8_PP_GY_control_SK,2024-07-11 15:48:43,,/Volumes/T7/6_7/cut/B4_8_PP_GY_control.mp4,641.110,25.0,No focal subject,Test arena entry,,,POINT,8.360,8.360,NA,,
B4_4_BR_BP_control_SK,2024-07-12 18:47:45,,/Volumes/T7/2_7/cut/B4_4_BR_BP_control.mov,668.730,30.0,No focal subject,Eating,,,POINT,8.567,8.567,NA,,
B5_7_PR_RY_control_SK,2024-07-11 13:02:57,,/Volumes/T7/5_7/cut/B5_7_PR_RY_control.mp4,634.520,25.0,No focal subject,Trial start,,,POINT,8.640,8.640,NA,,
B8_2_GG_GY_novel_SK,2024-07-14 13:24:14,,/Volumes/T7/14_7/cut/B8_2_GG_GY_novel.mp4,633.220,30.0,No focal subject,Trial start,,,POINT,8.800,8.800,NA,,
B4_8_GP_BR_control_SK,2024-07-11 15:48:06,,/Volumes/T7/6_7/cut/B4_8_GP_BR_control.mp4,664.410,25.0,No focal subject,Trial start,,,POINT,8.840,8.840,NA,,
B4_7_A_control_SK,2024-07-11 12:56:37,,/Volumes/T7/5_7/cut/B4_7_A_control.mp4,656.880,25.0,blue,Test arena entry,,,POINT,8.960,8.960,NA,,
B5_1_BG_BP_novel_SK,2024-07-12 14:51:11,,/Volumes/T7/29_06/B4_B5/cut/B5_1_BG_BP_novel.mp4,640.210,25.0,No focal subject,Trial start,,,POINT,9.000,9.000,NA,,
B4_7_A_control_SK,2024-07-11 12:56:37,,/Volumes/T7/5_7/cut/B4_7_A_control.mp4,656.880,25.0,red,Test arena entry,,,POINT,9.040,9.040,NA,,
B5_7_RR_BY_control_SK,2024-07-11 13:03:14,,/Volumes/T7/5_7/cut/B5_7_RR_BY_control.mp4,658.390,25.0,No focal subject,Trial start,,,POINT,9.160,9.160,NA,,
B8_8_BB_BB_control_SK,2024-07-20 12:08:32,,/Volumes/Extreme SSD/NEO_Gull 2024/20_7/B8_B9/cut/B8_8_BB_BB_control.mp4,636.740,30.0,No focal subject,Trial start,,,POINT,9.267,9.267,NA,,
B8_2_PR_BP_novel_SK,2024-07-14 13:25:27,,/Volumes/T7/14_7/cut/B8_2_RR_BP_novel.mp4,653.570,30.0,No focal subject,Trial start,,,POINT,9.300,9.300,NA,,
B6_3_B_novel_SK,2024-07-15 19:20:02,,/Volumes/T7/11_7/cut/B6_3_B_novel.mov,702.970,30.0,No focal subject,Trial start,,,POINT,9.400,9.400,NA,,
B9_3_BG_PR_control_SK,2024-07-15 14:25:18,,/Volumes/T7/15_7/cut/B9_3_BG_PR_control.mp4,711.000,30.0,No focal subject,Eating,,,POINT,9.533,9.533,NA,,
B5_1_BG_BY_novel_Sk,2024-07-12 14:51:25,,/Volumes/T7/29_06/B4_B5/cut/B5_1_BG_BY_novel.mp4,678.530,25.0,No focal subject,Trial start,,,POINT,9.560,9.560,NA,,
B8_8_GG_GY_control_SK,2024-07-20 12:09:05,,/Volumes/Extreme SSD/NEO_Gull 2024/20_7/B8_B9/cut/B8_8_GG_GY_control.mp4,632.470,30.0,No focal subject,Trial start,,,POINT,9.600,9.600,NA,,
B8_8_GG_PR_control_SK,2024-07-20 12:07:32,,/Volumes/Extreme SSD/NEO_Gull 2024/20_7/B8_B9/cut/B8_8_GG_PR_control.mp4,641.280,30.0,No focal subject,Trial start,,,POINT,9.633,9.633,NA,,
B5_7_RR_PP_control_SK,2024-07-11 13:03:29,,/Volumes/T7/5_7/cut/B5_7_RR_PP_control.mp4,763.520,25.0,No focal subject,Trial start,,,POINT,9.720,9.720,NA,,
B4_7_A_control_SK,2024-07-11 12:56:37,,/Volumes/T7/5_7/cut/B4_7_A_control.mp4,656.880,25.0,redblue,Test arena entry,,,POINT,9.760,9.760,NA,,
B5_5_PR_RY_novel_SK,2024-07-13 10:39:20,,/Volumes/T7/3_7/cut/B5_5_PR_RY_novel.mov,674.070,30.0,No focal subject,Trial start,,,POINT,9.767,9.767,NA,,
B7_3_BG_RR_novel_SK,2024-07-15 19:20:49,,/Volumes/T7/11_7/cut/B7_3_BG_RR_novel.mov,711.300,30.0,No focal subject,Trial start,,,POINT,9.767,9.767,NA,,
B8_4_PY_BR_control_SK,2024-07-16 11:15:28,,/Volumes/T7/16_7/cut/B8_4_PY_BR_control.mp4,635.480,30.0,No focal subject,Trial start,,,POINT,9.767,9.767,NA,,
B4_7_A_control_SK,2024-07-11 12:56:37,,/Volumes/T7/5_7/cut/B4_7_A_control.mp4,656.880,25.0,black,Test arena entry,,,POINT,9.880,9.880,NA,,
B3_8_A_control_SK,2024-07-13 08:51:46,,/Volumes/T7/3_7/cut/B3_8_A_control.mov,664.830,30.0,No focal subject,Trial start,,,POINT,10.067,10.067,NA,,
B3_8_B_control_SK,2024-07-13 08:51:59,,/Volumes/T7/3_7/cut/B3_8_B_control.mov,666.970,30.0,No focal subject,Trial start,,,POINT,10.100,10.100,NA,,
B8_8_BG_BR_control_SK,2024-07-20 12:08:10,,/Volumes/Extreme SSD/NEO_Gull 2024/20_7/B8_B9/cut/B8_8_BG_BR_control.mp4,650.600,30.0,No focal subject,Trial start,,,POINT,10.100,10.100,NA,,
B7_3_PY_GY_novel_SK,2024-07-15 19:23:23,,/Volumes/T7/11_7/cut/B7_3_PY_GY_novel.mov,651.100,30.0,No focal subject,Trial start,,,POINT,10.133,10.133,NA,,
B4_8_BB_GY_control_SK,2024-07-11 15:15:26,,/Volumes/T7/6_7/cut/B4_8_BB_GY_control.mp4,710.910,25.0,No focal subject,Trial start,,,POINT,10.200,10.200,NA,,
B8_2_RY_BB_novel_SK,2024-07-14 13:25:42,,/Volumes/T7/14_7/cut/B8_2_RY_BB_novel.mp4,666.410,30.0,No focal subject,Trial start,,,POINT,10.200,10.200,NA,,
