"","Bird_ID","Trial","Enclosure","Object","Context","Latency_to_enter","Latency_to_Eat","Zoi_duration","Object_Type","GroupID","NestID","group_dummy","ind_dummy","Object_contrast","Context_contrast"
"1","BB_BB","1","B8","novel","group",2.2,2.9,183.666,2,"7A","2024VM08",1,0,0.5,0.5
"2","BB_BB","2","B8","novel","individual",6.234,13.833,91.9,4,NA,"2024VM08",0,1,0.5,-0.5
"3","BB_BB","3","B8","control","group",2.267,2.2,85.367,3,"7A","2024VM08",1,0,-0.5,0.5
"4","BB_BB","4","B8","control","individual",1.567,3.733,203.333,3,NA,"2024VM08",0,1,-0.5,-0.5
"5","BB_BB","5","B8","novel","group",1.067,2.733,371.5,1,"7A","2024VM08",1,0,0.5,0.5
"6","BB_BB","6","B8","novel","individual",1.233,3.7,552.2,5,NA,"2024VM08",0,1,0.5,-0.5
"7","BB_BB","7","B8","control","group",1.133,2.7,302.667,3,"7A","2024VM08",1,0,-0.5,0.5
"8","BB_BB","8","B8","control","individual",1.5,4.5,44.9,3,NA,"2024VM08",0,1,-0.5,-0.5
"9","BB_BP","1","B4","novel","group",7.48,3.48,87.32,5,"3A","2024KN04",1,0,0.5,0.5
"10","BB_BP","2","B4","novel","individual",47.533,600,2.267,1,NA,"2024KN04",0,1,0.5,-0.5
"11","BB_BP","3","B4","control","group",1.96,2.2,121.84,3,"3A","2024KN04",1,0,-0.5,0.5
"12","BB_BP","4","B4","control","individual",1.433,3.067,79.966,3,NA,"2024KN04",0,1,-0.5,-0.5
"13","BB_BP","5","B4","novel","group",1.8,3.334,27.9,4,"3A","2024KN04",1,0,0.5,0.5
"14","BB_BP","6","B4","novel","individual",2.08,4.08000000000001,454.445,2,NA,"2024KN04",0,1,0.5,-0.5
"15","BB_BP","7","B4","control","group",2.64,2.92,425.04,3,"3A","2024KN04",1,0,-0.5,0.5
"16","BB_BP","8","B4","control","individual",1.68,3.52,45.92,3,NA,"2024KN04",0,1,-0.5,-0.5
"17","BB_BY","1","B9","novel","individual",8.133,21.1,341.067,1,NA,"2024KN20",0,1,0.5,-0.5
"18","BB_BY","2","B9","control","group",2.9,3.7,130.4,4,"8A","2024KN20",1,0,-0.5,0.5
"19","BB_BY","3","B9","control","individual",3.333,5.734,659.814,4,NA,"2024KN20",0,1,-0.5,-0.5
"20","BB_BY","4","B9","novel","group",1.133,5,521.401,5,"8A","2024KN20",1,0,0.5,0.5
"21","BB_BY","5","B9","novel","individual",2.334,8.566,507.2,2,NA,"2024KN20",0,1,0.5,-0.5
"22","BB_BY","6","B9","control","group",1.266,4.067,465.866,4,"8A","2024KN20",1,0,-0.5,0.5
"23","BB_BY","7","B9","control","individual",1.734,26.933,670.773,4,NA,"2024KN20",0,1,-0.5,-0.5
"24","BB_BY","8","B9","novel","group",1.8,6.567,425.401,3,"8A","2024KN20",1,0,0.5,0.5
"25","BB_GR","1","B5","novel","individual",5.88,600,2.48,1,NA,"2024KS01",0,1,0.5,-0.5
"26","BB_GR","2","B5","control","group",1.8,2.933,40.967,4,"4A","2024KS01",1,0,-0.5,0.5
"27","BB_GR","3","B5","control","individual",2.04,2.76,69.4,4,NA,"2024KS01",0,1,-0.5,-0.5
"28","BB_GR","4","B5","novel","group",2.4,3.667,60.233,3,"4A","2024KS01",1,0,0.5,0.5
"29","BB_GR","5","B5","novel","individual",1.433,2.9,149.333,2,NA,"2024KS01",0,1,0.5,-0.5
"30","BB_GR","6","B5","control","group",1.56,2.04,110.96,4,"4A","2024KS01",1,0,-0.5,0.5
"31","BB_GR","7","B5","control","individual",1.56,2.6,70,4,NA,"2024KS01",0,1,-0.5,-0.5
"32","BB_GR","8","B5","novel","group",1.2,3.44,237.12,5,"4A","2024KS01",1,0,0.5,0.5
"33","BB_GY","1","B4","novel","group",11.36,16.8,13,5,"3B","2024OO42",1,0,0.5,0.5
"34","BB_GY","2","B4","novel","individual",1.433,600,0,1,NA,"2024OO42",0,1,0.5,-0.5
"35","BB_GY","3","B4","control","group",3.68,2.48,156,3,"3B","2024OO42",1,0,-0.5,0.5
"36","BB_GY","4","B4","control","individual",2.433,3.534,143.233,3,NA,"2024OO42",0,1,-0.5,-0.5
"37","BB_GY","5","B4","novel","group",1.666,2.567,161.833,4,"3B","2024OO42",1,0,0.5,0.5
"38","BB_GY","6","B4","novel","individual",2.04,4.76,36.28,2,NA,"2024OO42",0,1,0.5,-0.5
"39","BB_GY","7","B4","control","group",1.96,2.44,103.356,3,"3B","2024OO42",1,0,-0.5,0.5
"40","BB_GY","8","B4","control","individual",1.64,3.16,49.76,3,NA,"2024OO42",0,1,-0.5,-0.5
"41","BB_PR","1","B7","control","individual",2.6,3.034,102.867,2,NA,"2024BR02",0,1,-0.5,-0.5
"42","BB_PR","2","B7","novel","group",1.167,2.792,106.334,3,"6A","2024BR02",1,0,0.5,0.5
"43","BB_PR","3","B7","novel","individual",1.59999999999999,4.10000000000001,47.733,4,NA,"2024BR02",0,1,0.5,-0.5
"44","BB_PR","4","B7","control","group",1.367,2.566,127.067,2,"6A","2024BR02",1,0,-0.5,0.5
"45","BB_PR","5","B7","control","individual",1.16,56.32,144.88,2,NA,"2024BR02",0,1,-0.5,-0.5
"46","BB_PR","6","B7","novel","group",1.367,14.466,160.632,5,"6A","2024BR02",1,0,0.5,0.5
"47","BB_PR","7","B7","novel","individual",1.44,3.6,122.8,1,NA,"2024BR02",0,1,0.5,-0.5
"48","BB_PR","8","B7","control","group",0.866999999999999,2.733,122.734,2,"6A","2024BR02",1,0,-0.5,0.5
"49","BB_RR","1","B6","control","group",2.467,4.367,26.733,1,"5A","2024OO31",1,0,-0.5,0.5
"50","BB_RR","2","B6","control","individual",1.083,2.875,131.458,1,NA,"2024OO31",0,1,-0.5,-0.5
"51","BB_RR","3","B6","novel","group",1.2,3.534,23,2,"5A","2024OO31",1,0,0.5,0.5
"52","BB_RR","4","B6","novel","individual",1.5,3.034,63.533,3,NA,"2024OO31",0,1,0.5,-0.5
"53","BB_RR","5","B6","control","group",1.24,2.2,19.16,1,"5A","2024OO31",1,0,-0.5,0.5
"54","BB_RR","6","B6","control","individual",1.366,2.634,62.967,1,NA,"2024OO31",0,1,-0.5,-0.5
"55","BB_RR","7","B6","novel","group",2.36,3.28,17.4,4,"5A","2024OO31",1,0,0.5,0.5
"56","BB_RR","8","B6","novel","individual",1.1,3.8,50.833,5,NA,"2024OO31",0,1,0.5,-0.5
"57","BG_BP","1","B5","novel","individual",4.12,600,0,1,NA,"2024OO15",0,1,0.5,-0.5
"58","BG_BP","2","B5","control","group",2.3,2.234,36.334,4,"4B","2024OO15",1,0,-0.5,0.5
"59","BG_BP","3","B5","control","individual",1.8,3.84,71.2,4,NA,"2024OO15",0,1,-0.5,-0.5
"60","BG_BP","4","B5","novel","group",1.9,2.567,96.3000000000001,3,"4B","2024OO15",1,0,0.5,0.5
"61","BG_BP","5","B5","novel","individual",1.5,3.8,44.6,2,NA,"2024OO15",0,1,0.5,-0.5
"62","BG_BP","6","B5","control","group",1.44,2.44,173.04,4,"4B","2024OO15",1,0,-0.5,0.5
"63","BG_BP","7","B5","control","individual",1.6,4.04,67.4,4,NA,"2024OO15",0,1,-0.5,-0.5
"64","BG_BP","8","B5","novel","group",1.6,2.88,89.44,5,"4B","2024OO15",1,0,0.5,0.5
"65","BG_BR","1","B8","novel","group",9.1,3.466,54.133,2,"7B","2024MK02",1,0,0.5,0.5
"66","BG_BR","2","B8","novel","individual",6.867,10.267,78.4,4,NA,"2024MK02",0,1,0.5,-0.5
"67","BG_BR","3","B8","control","group",2.7,2.8,46.867,3,"7B","2024MK02",1,0,-0.5,0.5
"68","BG_BR","4","B8","control","individual",2.433,5.267,57.4,3,NA,"2024MK02",0,1,-0.5,-0.5
"69","BG_BR","5","B8","novel","group",2.367,50.766,46.4,1,"7B","2024MK02",1,0,0.5,0.5
"70","BG_BR","6","B8","novel","individual",4.6,21.2,61.7,5,NA,"2024MK02",0,1,0.5,-0.5
"71","BG_BR","7","B8","control","group",2.134,3.666,34.266,3,"7B","2024MK02",1,0,-0.5,0.5
"72","BG_BR","8","B8","control","individual",1.8,6.033,63.566,3,NA,"2024MK02",0,1,-0.5,-0.5
"73","BG_BY","1","B5","novel","individual",5.36,24.64,78.6,1,NA,"2024BL06",0,1,0.5,-0.5
"74","BG_BY","2","B5","control","group",2.8,3.3,126.066,4,"4A","2024BL06",1,0,-0.5,0.5
"75","BG_BY","3","B5","control","individual",2.48,6.08,366.44,4,NA,"2024BL06",0,1,-0.5,-0.5
"76","BG_BY","4","B5","novel","group",1.567,4.967,415.633,3,"4A","2024BL06",1,0,0.5,0.5
"77","BG_BY","5","B5","novel","individual",2.733,7.2,67.733,2,NA,"2024BL06",0,1,0.5,-0.5
"78","BG_BY","6","B5","control","group",2.04,3.88,149.16,4,"4A","2024BL06",1,0,-0.5,0.5
"79","BG_BY","7","B5","control","individual",2,12,242,4,NA,"2024BL06",0,1,-0.5,-0.5
"80","BG_BY","8","B5","novel","group",2.16,437.2,138.6,5,"4A","2024BL06",1,0,0.5,0.5
"81","BG_PR","1","B9","novel","individual",4.3,600,11.466,1,NA,"2024KN20",0,1,0.5,-0.5
"82","BG_PR","2","B9","control","group",4.034,3.366,59.266,4,"8A","2024KN20",1,0,-0.5,0.5
