"","Bird_ID","Trial","Enclosure","Object","Context","Latency_to_enter","Latency_to_Eat","Zoi_duration","Object_Type","GroupID","NestID","group_dummy","ind_dummy","Object_contrast","Context_contrast"
"1","BB_BB","6","B8","novel","individual",0.834,3.733,571.1,5,NA,"2024VM08",0,1,0.5,-0.5
"2","BB_BB","8","B8","control","individual",0.9,4.7,44.866,3,NA,"2024VM08",0,1,-0.5,-0.5
"3","BB_BP","1","B4","novel","group",6.28,3.76,88.44,5,"3A","2024KN04",1,0,0.5,0.5
"4","BB_BP","6","B4","novel","individual",0.960000000000001,4.64,436.44,2,NA,"2024KN04",0,1,0.5,-0.5
"5","BB_GR","8","B5","novel","group",0.560000000000002,3.56,162.08,5,"4A","2024KS01",1,0,0.5,0.5
"6","BB_GY","1","B4","novel","group",10.84,16.92,14.16,5,"3B","2024OO42",1,0,0.5,0.5
"7","BB_GY","2","B4","novel","individual",0.567,600,0,1,NA,"2024OO42",0,1,0.5,-0.5
"8","BG_BP","3","B5","control","individual",1.24,4.04,71.92,4,NA,"2024OO15",0,1,-0.5,-0.5
"9","BG_BY","8","B5","novel","group",1.4,438.08,136.96,5,"4A","2024BL06",1,0,0.5,0.5
"10","BG_PR","5","B9","novel","individual",0.667,72.3,319.866,2,NA,"2024KN20",0,1,0.5,-0.5
"11","BG_RR","2","B7","novel","group",0.875,3.209,131.875,3,"6B","2024BL10",1,0,0.5,0.5
"12","BG_RR","3","B7","novel","individual",2.467,3.933,76.266,4,NA,"2024BL10",0,1,0.5,-0.5
"13","BG_RR","4","B7","control","group",1,2.9,105.833,2,"6B","2024BL10",1,0,-0.5,0.5
"14","BG_RR","8","B7","control","group",1.4,2.334,217.667,2,"6B","2024BL10",1,0,-0.5,0.5
"15","BP_BP","3","B3","novel","individual",0.533000000000001,3.3,97.067,1,NA,"2024OO16",0,1,0.5,-0.5
"16","BP_BP","4","B3","control","group",0.533,2.3,41.767,2,"2A","2024OO16",1,0,-0.5,0.5
"17","BP_GG","1","B7","control","individual",3.1,3.867,123.134,2,NA,"2024VM02",0,1,-0.5,-0.5
"18","BP_RY","1","B6","control","group",1.033,4.7,33.3,1,"5B","2024OO20",1,0,-0.5,0.5
"19","BP_RY","3","B6","novel","group",0.634,5.566,14.301,2,"5B","2024OO20",1,0,0.5,0.5
"20","BP_YY","4","B3","control","group",0.866,3,36.633,2,"2A","2024OO37",1,0,-0.5,0.5
"21","BP_YY","5","B3","control","individual",0.833,4.4,145.1,2,NA,"2024OO37",0,1,-0.5,-0.5
"22","BR_BP","1","B4","novel","group",6.56,5.28,68.28,5,"3B","2024DH04",1,0,0.5,0.5
"23","BR_GR","2","B7","novel","group",1.542,3.042,61.083,3,"6B","2024VM07",1,0,0.5,0.5
"24","BR_GR","4","B7","control","group",1.167,3.4,52.733,2,"6B","2024VM07",1,0,-0.5,0.5
"25","BR_GR","7","B7","novel","individual",0.880000000000003,600,18.28,1,NA,"2024VM07",0,1,0.5,-0.5
"26","BR_GR","8","B7","control","group",0.834,2.9,246.667,2,"6B","2024VM07",1,0,-0.5,0.5
"27","BR_GY","4","B3","control","group",0.800000000000001,2.6,161.8,2,"2A","2024OO25",1,0,-0.5,0.5
"28","BR_PP","5","B2","control","group",0.900000000000006,2.09999999999999,160.465,1,"1A","2024OO25",1,0,-0.5,0.5
"29","BR_PP","7","B2","novel","group",0.199999999999989,3.20000000000002,281.433,2,"1A","2024OO25",1,0,0.5,0.5
"30","BY_BP","5","B2","control","group",1.46600000000001,3.23399999999999,9.7,1,"1A","2024KN01",1,0,-0.5,0.5
"31","BY_BP","7","B2","novel","group",1.46699999999998,2.733,43.1670000000001,2,"1A","2024KN01",1,0,0.5,0.5
"32","BY_PR","1","B5","novel","individual",12.84,10.16,23.36,1,NA,"2024OO15",0,1,0.5,-0.5
"33","BY_PR","3","B5","control","individual",1.36,3.84,58.16,4,NA,"2024OO15",0,1,-0.5,-0.5
"34","BY_PR","7","B5","control","individual",0.76,3.56,295.56,4,NA,"2024OO15",0,1,-0.5,-0.5
"35","BY_PR","8","B5","novel","group",0.760000000000002,3.52,160.28,5,"4A","2024OO15",1,0,0.5,0.5
"36","BY_PY","8","B6","novel","individual",1.767,18.533,100.166,5,NA,"2024DH03",0,1,0.5,-0.5
"37","BY_RR","2","B7","novel","group",2.709,2.416,79.708,3,"6B","2024OO50",1,0,0.5,0.5
"38","BY_RR","4","B7","control","group",2.2,3.467,76.233,2,"6B","2024OO50",1,0,-0.5,0.5
"39","BY_RR","8","B7","control","group",0.834,3.5,312,2,"6B","2024OO50",1,0,-0.5,0.5
"40","GG_BG","1","B6","control","group",1.7,3.266,19.934,1,"5B","2024OO31",1,0,-0.5,0.5
"41","GG_BG","3","B6","novel","group",1.634,3.566,12.234,2,"5B","2024OO31",1,0,0.5,0.5
"42","GG_BG","4","B6","novel","individual",1.067,5.733,65.233,3,NA,"2024OO31",0,1,0.5,-0.5
"43","GG_BG","6","B6","control","individual",0.300000000000001,3.4,19.967,1,NA,"2024OO31",0,1,-0.5,-0.5
"44","GG_BR","1","B7","control","individual",1.767,2.766,52.933,2,NA,"2024BL10",0,1,-0.5,-0.5
"45","GG_BR","5","B7","control","individual",1.08,3.28,64.88,2,NA,"2024BL10",0,1,-0.5,-0.5
"46","GG_BY","2","B7","novel","group",2.417,3.083,103.083,3,"6B","2024VM08",1,0,0.5,0.5
"47","GG_BY","4","B7","control","group",0.767000000000001,4.5,126.001,2,"6B","2024VM08",1,0,-0.5,0.5
"48","GG_BY","8","B7","control","group",1.2,2.6,181.033,2,"6B","2024VM08",1,0,-0.5,0.5
"49","GG_GY","4","B8","control","individual",1.267,3.433,90.566,3,NA,"2024DH06",0,1,-0.5,-0.5
"50","GP_BB","1","B9","novel","individual",3.233,148.767,48.467,1,NA,"2024KN18",0,1,0.5,-0.5
"51","GP_BB","3","B9","control","individual",2,5.767,116.733,4,NA,"2024KN18",0,1,-0.5,-0.5
"52","GP_BB","7","B9","control","individual",1.567,6.133,52.267,4,NA,"2024KN18",0,1,-0.5,-0.5
"53","GP_BR","1","B4","novel","group",5.64,4.44,53,5,"3A","2024DH04",1,0,0.5,0.5
"54","GP_BR","2","B4","novel","individual",1.767,4.966,57.334,1,NA,"2024DH04",0,1,0.5,-0.5
"55","GR_BY","1","B3","control","individual",1.433,4.734,88.734,2,NA,"2024OO14",0,1,-0.5,-0.5
"56","GR_GP","1","B3","control","individual",5.233,9.034,33.467,2,NA,"2024KN01",0,1,-0.5,-0.5
"57","GR_GR","1","B6","control","group",0.666,3.967,37.468,1,"5B","2024BL04",1,0,-0.5,0.5
"58","GR_GR","3","B6","novel","group",1.634,2.433,93.866,2,"5B","2024BL04",1,0,0.5,0.5
"59","GR_PP","4","B2","novel","individual",1.367,5.8,36.5,3,NA,"2024OO09",0,1,0.5,-0.5
"60","GY_BG","1","B6","control","group",0.666,4.1,145.3,1,"5B","2024VM01",1,0,-0.5,0.5
"61","GY_BG","3","B6","novel","group",1.334,4.233,80.2,2,"5B","2024VM01",1,0,0.5,0.5
"62","GY_BG","6","B6","control","individual",1.3,4.633,88.766,1,NA,"2024VM01",0,1,-0.5,-0.5
"63","GY_BG","8","B6","novel","individual",1.1,41.567,64.601,5,NA,"2024VM01",0,1,0.5,-0.5
"64","GY_GP","1","B7","control","individual",1.6,5.167,104.466,2,NA,"2024DH02",0,1,-0.5,-0.5
"65","GY_PP","1","B4","novel","group",7.28,3.56,34.44,5,"3B","2024OO32",1,0,0.5,0.5
"66","GY_PP","8","B4","control","individual",0.56,3.16,123.32,3,NA,"2024OO32",0,1,-0.5,-0.5
"67","GY_RR","1","B6","control","group",2.066,4.367,19.267,1,"5B","2024DH03",1,0,-0.5,0.5
"68","GY_RR","3","B6","novel","group",2.7,4,69.867,2,"5B","2024DH03",1,0,0.5,0.5
"69","GY_RY","1","B4","novel","group",6.2,4.84,39,5,"3A","2024OO42",1,0,0.5,0.5
"70","PP_BB","5","B2","control","group",0.799999999999997,2.066,44.733,1,"1A","2024OO19",1,0,-0.5,0.5
"71","PP_BB","7","B2","novel","group",0.5,2.79999999999998,51.167,2,"1A","2024OO19",1,0,0.5,0.5
"72","PP_BB","8","B2","novel","individual",0.466999999999999,3.833,34.433,5,NA,"2024OO19",0,1,0.5,-0.5
"73","PP_GP","1","B9","novel","individual",1.434,20.3,29.033,1,NA,"2024BL08",0,1,0.5,-0.5
"74","PP_GP","3","B9","control","individual",1.433,7.134,36.1,4,NA,"2024BL08",0,1,-0.5,-0.5
"75","PP_GP","5","B9","novel","individual",0.866999999999999,7.033,430.233,2,NA,"2024BL08",0,1,0.5,-0.5
"76","PP_GP","7","B9","control","individual",1.334,7.4,322.1,4,NA,"2024BL08",0,1,-0.5,-0.5
"77","PP_GY","1","B4","novel","group",27.36,600,0,5,"3B","2024BR01",1,0,0.5,0.5
"78","PP_GY","2","B4","novel","individual",80.567,600,0,1,NA,"2024BR01",0,1,0.5,-0.5
"79","PP_RY","1","B5","novel","individual",3.08,600,0,1,NA,"2024BL09",0,1,0.5,-0.5
"80","PP_RY","5","B5","novel","individual",1.833,8.434,103.534,2,NA,"2024BL09",0,1,0.5,-0.5
"81","PP_RY","7","B5","control","individual",0.84,6.64,10.84,4,NA,"2024BL09",0,1,-0.5,-0.5
"82","PP_RY","8","B5","novel","group",1.16,3.64,338.88,5,"4A","2024BL09",1,0,0.5,0.5
"83","PR_BP","2","B8","novel","individual",0.433000000000002,2.433,88.867,4,NA,"2024OO41",0,1,0.5,-0.5
"84","PR_GG","3","B5","control","individual",1.68,3.64,155.88,4,NA,"2024BL09",0,1,-0.5,-0.5
"85","PR_GG","7","B5","control","individual",1.64,6.12,86.24,4,NA,"2024BL09",0,1,-0.5,-0.5
"86","PY_BP","3","B3","novel","individual",0.400000000000006,600,0,1,NA,"2024DH01",0,1,0.5,-0.5
"87","PY_BP","4","B3","control","group",0.699999999999999,2.933,40.533,2,"2A","2024DH01",1,0,-0.5,0.5
