Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
B7_7_BY_RR_novel_RA,2024-07-16 13:40:52,,/Volumes/My_Passport/RR_NEO/16_7/cut/B7_7_BY_RR_novel.mov,633.680,25.0,No focal subject,Trial start,,,POINT,1.360,1.360,NA,,
B7_7_BY_RR_novel_RA,2024-07-16 13:40:52,,/Volumes/My_Passport/RR_NEO/16_7/cut/B7_7_BY_RR_novel.mov,633.680,25.0,No focal subject,Test arena entry,,,POINT,3.880,3.880,NA,,
B7_8_A_control_RA,2024-07-20 09:33:02,,/Volumes/My_Passport/RR_NEO/17_7/cut/B7_8_A_control.mov,736.030,30.0,No focal subject,Trial start,,,POINT,8.333,8.333,NA,,
B3_5_BR_GY_control_RA,2024-07-12 09:15:49,,/Volumes/My_Passport/RR_NEO/30_6/B2_B3/cut/B3_5_BR_GY_control.mov,675.370,30.0,No focal subject,Trial start,,,POINT,8.467,8.467,NA,,
B7_7_BB_PR_novel_RA,2024-07-16 13:24:40,,/Volumes/My_Passport/RR_NEO/16_7/cut/B7_7_BB_PR_novel.mov,649.600,25.0,No focal subject,Trial start,,,POINT,8.680,8.680,NA,,
B6_2_GR_BB_control_RA,2024-07-14 14:29:44,,/Volumes/My_Passport/RR_NEO/11_7/B6_B7/cut/B6_2_GR_BB_control.mov,640.000,24.0,No focal subject,Trial start,,,POINT,9.167,9.167,NA,,
B7_8_A_control_RA,2024-07-20 09:33:02,,/Volumes/My_Passport/RR_NEO/17_7/cut/B7_8_A_control.mov,736.030,30.0,blue,Test arena entry,,,POINT,9.200,9.200,NA,,
B7_8_A_control_RA,2024-07-20 09:33:02,,/Volumes/My_Passport/RR_NEO/17_7/cut/B7_8_A_control.mov,736.030,30.0,redblue,Test arena entry,,,POINT,9.233,9.233,NA,,
B7_7_BY_RR_novel_RA,2024-07-16 13:40:52,,/Volumes/My_Passport/RR_NEO/16_7/cut/B7_7_BY_RR_novel.mov,633.680,25.0,No focal subject,Zone of Interest,,,STATE,9.560,48.280,38.720,,
B7_8_A_control_RA,2024-07-20 09:33:02,,/Volumes/My_Passport/RR_NEO/17_7/cut/B7_8_A_control.mov,736.030,30.0,black,Test arena entry,,,POINT,9.667,9.667,NA,,
B7_8_A_control_RA,2024-07-20 09:33:02,,/Volumes/My_Passport/RR_NEO/17_7/cut/B7_8_A_control.mov,736.030,30.0,red,Test arena entry,,,POINT,9.833,9.833,NA,,
B6_4_PY_BY_novel_RA,2024-07-16 08:35:22,,/Volumes/My_Passport/RR_NEO/13_7/cut/B6_4_PY_BY_novel.mov,650.130,30.0,No focal subject,Trial start,,,POINT,9.933,9.933,NA,,
B6_4_GY_BG_novel_RA,2024-07-16 08:25:42,,/Volumes/My_Passport/RR_NEO/13_7/cut/B6_4_GY_BG_novel.mov,650.770,30.0,No focal subject,Trial start,,,POINT,10.000,10.000,NA,,
B6_2_GY_BG_control_RA,2024-07-14 14:44:43,,/Volumes/My_Passport/RR_NEO/11_7/B6_B7/cut/B6_2_GY_BG_control.mov,677.040,24.0,No focal subject,Trial start,,,POINT,10.083,10.083,NA,,
B7_7_BB_PR_novel_RA,2024-07-16 13:24:40,,/Volumes/My_Passport/RR_NEO/16_7/cut/B7_7_BB_PR_novel.mov,649.600,25.0,No focal subject,Test arena entry,,,POINT,10.120,10.120,NA,,
B3_5_BR_GY_control_RA,2024-07-12 09:15:49,,/Volumes/My_Passport/RR_NEO/30_6/B2_B3/cut/B3_5_BR_GY_control.mov,675.370,30.0,No focal subject,Test arena entry,,,POINT,10.133,10.133,NA,,
