"","x"
"1","B3_5_GR_BY_control_RA"
"2","B5_4_B_novel_SK"
"3","B7_1_BR_GR_control_SK"
"4","B7_7_GG_BY_novel_RA"
"5","B7_7_GG_BR_novel_RA"
"6","B7_3_BR_GR_novel_SK"
"7","B2_5_B_control_RA"
"8","B2_8_GY_BY_novel_SK"
"9","B6_8_BP_GP_novel_RA"
"10","B6_4_GG_BG_novel_RA"
"11","B4_7_B_control_SK"
"12","B3_7_PY_BP_novel_SK"
"13","B9_8_A_novel_SK"
"14","B9_5_PP_GP_novel_SK"
"15","B3_7_GR_GP_novel_SK"
"16","B6_5_B_control_SK"
"17","B5_3_PR_RY_control_RA"
"18","B5_7_RY_GR_control_SK"
"19","B2_6_YY_PP_control_RA"
"20","B4_6_GY_RY_novel_SK"
"21","B3_1_BR_GY_control_SK"
"22","B5_5_PR_RY_novel_SK"
"23","B8_7_B_control_SK"
"24","B8_6_PR_RR_novel_SK"
"25","B7_1_BY_RR_control_SK"
"26","B8_8_PY_BR_control_SK"
"27","B6_6_GY_BG_control_SK"
"28","B8_8_BG_BR_control_SK"
"29","B2_7_A_novel_SK"
"30","B9_2_A_control_SK"
"31","B8_4_GG_PR_control_SK"
"32","B4_3_B_control_RA"
"33","B8_2_GG_PR_novel_SK"
"34","B8_2_PR_BP_novel_SK"
"35","B6_6_GG_BG_control_SK"
"36","B8_8_PY_GP_control_SK"
"37","B8_4_PY_BR_control_SK"
"38","B4_4_BB_GY_control_SK"
"39","B2_2_RY_RR_control_SK"
"40","B4_1_A_novel_SK"
"41","B9_7_BB_BY_control_SK"
"42","B6_4_GY_BG_novel_RA"
"43","B6_8_GY_RR_novel_RA"
"44","B7_5_GG_BR_control_SK"
"45","B8_8_BB_BB_control_SK"
"46","B6_8_GR_GR_novel_RA"
"47","B9_1_BG_PR_novel_SK"
"48","B6_8_GY_BG_novel_RA"
"49","B7_5_BP_GG_control_SK"
"50","B9_7_BP_BY_control_SK"
"51","B4_2_PP_GY_novel_SK"
"52","B7_5_GG_BY_control_SK"
"53","B7_7_BB_PR_novel_RA"
"54","B2_4_PP_BB_novel_SK"
"55","B8_2_PY_GP_novel_SK"
"56","B4_8_GY_RY_control_SK"
"57","B6_8_GR_BB_novel_RA"
"58","B7_1_BP_GG_control_SK"
"59","B5_6_A_control_SK"
"60","B8_2_BB_BB_novel_SK"
"61","B4_4_YY_BR_control_SK"
"62","B7_5_BY_RR_control_SK"
"63","B8_2_PY_BR_novel_SK"
"64","B2_2_BY_BP_control_SK"
"65","B3_6_2B_novel_RA"
